title,description
"Organic, aromatic and medicinal plants","The MOVING reference member state of this VC (Value Chain) is FRANCE CCVD. The reference MOVING Card ID of this VC is VC 05 FR1. Drome departement is the first producer of organic, aromatic and medicinal plants in France with 246 conventional and organic operators. Main productions are lavander (95%), sage and thym. Most of the time, these are processed into essential oils or other products by local laboratories and distributed in long circuit or exported. Drome lavander is a high reputation product providing high added-value and contributing to the territorial identity. This VC is very well organized in the territory from processing, cutting, sifting, drying, distillation, spraying and/or wholesale marketing with important actors: 5 producer groups and 42 processing or distribution companies. As climatic condition and consumer demand increase, the organic, aromatic and medicinal plants VC is strongly developping in the recent years. Climate change providing favourable temperature for this culture and consumer demand is increasing for this type of products. This phenomenon has an impact in term of land use (more and more surface cultivated), agricultural practices (33% of the producers are organic and in term of local added-value on the territory as this VC is currently more export oriented."
Mountain landscape and reference chains,"The reference mountain chain of this VC is Drome Valley. The reference mountain landscape of this VC is Drome departement. Drôme is a very diversified departement in terms of geological, natural and agricultural resources. The North-East of the territory is characterised by middle and high mountains (Pre Alps and Vercors Natural Park): agriculture is this area is mainly livestock and small diversified gardening. The South is characterized by the beginning of the Provence and the mediterranean climate, we can find there aromatic and yard large cultures. The West of the territory is characterized by plains were the Rhône and the Drôme rivers meet. Agriculture ther is mainly large cropland. Within the Drôme departement, Biovallée territority gathers 3 associations of municipalities (EPCI) - 95 muncipalities in total. It is a very preserved and diversified territory, following the Drôme River, from Pre Alps to large plains of the downvalley. In terms of organic farming, since the 1970s, this valley is a fertile land that claims to be 'the first organic territory in France'. In 2017, there were about 35% of certified organic farmers. The goal is to reach 50% of farmers and surfaces in organic in 2020."
Geography and population,The size of the area (km2) is 2200. The minimum altimetry of the LAU (Local Administrative Unit) is 50. The maximum altimetry of the LAU is 2453. The total population (in thousand) is 58.56. The population density (Inhabitants/km2) in the LAU is 42.3. The population change rate of the LAU in the last 10 years (%) has been 1%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) has been 0.6%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 21100. The total Gross Value Added (GVA) (EUR million/year) [Province] is 14532.49. The primary sector share of total GVA/year [Province] is 1.70%. The secondary sector share of total GVA/year [Province] is 20.30%. The tertiary sector share of total GVA/year [Province] is 77.80%. The per capita income (EUR/year) [Region] is 32799. The total Gross Value Added (GVA) (EUR million/year) [Region] is 242040. The primary sector share of total GVA/year [Region] is 1.00%. The secondary sector share of total GVA/year [Region] is 24.70%. The tertiary sector share of total GVA/year [Region] is 74.30%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 56167. The regional (Region) share of total BPs/year is 37%. The number of agricultural holdings in the LAU is 6400. The nearest settlement with population over 100000 (km) is 115. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 2.20%. The secondary sector share of total employment/year [Province] is 24.60%. The tertiary sector share of total employment/year [Province] is 71.50%. The primary sector share of total employment/year [Region] is 2.10%. The secondary sector share of total employment/year [Region] is 21.80%. The tertiary sector share of total employment/year [Region] is 76.10%.
Interest on this VC,"Drome departement is the first producer of organic, aromatic and medicinal plants in France with 246 conventional and organic operators. Main productions are lavander (95%), sage and thym. Most of the time, these are processed into essential oils or other products by local laboratories and distributed in long circuit or exported. Drome lavander is a high reputation product providing high added-value and contributing to the territorial identity. New products: essential oils and other products derivated from organic, aromatic and medicinal plants are increasingly demanded."
Key local assets,"Cultural asset: Organic, aromatic and medicinal plants production and processing are emblematic in Drome providing cultural assets: traditional know-how, turistic attraction (lavander field) and local branding Economic asset: high added value products and creation of local jobs Natural asset: attractivness of lavander landscape. "
Challenges,"Organic, aromatic and medicinal plants VC is strongly developping in the recent years: number of explotation and demand for these prodcuts is increasing for 2 mains reasons; Climate change providing favourable temperature for this culture and consumer demand is increasing for this type of products. This phenomenon has an impact in term of land use (more and more surface cultivated), agricultural practices (33% of the producers are organic and in term of local added-value on the territory as this VC is currently more export oriented. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional."
Innovation,The type of innovation of this VC (Value Chain) is unspecified. No particular innovation. The innovation is related to the whole VC. The land use systems involved are Cropland and Grassland. The local assets include Natural and cultural.
