title,description
Liqueur made from sour cherry from Serra da Estrela,The MOVING reference member state of this VC (Value Chain) is PORTUGAL ESTRELA. The reference MOVING Card ID of this VC is VC 15 PT2. Sour cherries are harvested at the hillsides of Serra da Estrela. Sour Cherry Liqueur is produced according to the traditional steeping process of the fruit. This product is sold at national and international levels.
Mountain landscape and reference chains,"The reference mountain chain of this VC is Cordilheira Central (RR08). The reference mountain landscape of this VC is Covilhã. Located on the southwest slope of Serra da Estrela, Covilhã is a municipality with 21 parishes, in the district of Guarda in the Centre region of Portugal. Covilhã shares with the municipalities of Seia and Manteigas, the highest point in mainland Portugal at 1993 meters of altitude. Nowadays, the city of Covilhã is one of the main European centers for wool production. Tradicional economic activities in Covilhã include wool industry and production of dairy products from sheep's milk."
Geography and population,The size of the area (km2) is 554.26. The minimum altimetry of the LAU (Local Administrative Unit) is 353. The maximum altimetry of the LAU is 1993. The total population (in thousand) is 46.787. The population density (Inhabitants/km2) in the LAU is 84.2. The population change rate of the LAU in the last 10 years (%) has been -0.10%. The overall regional population density (Inhabitants/km2) is 78.6. The regional population change rate in the last 10 years (%) has been -0.05%.
Income and gross value added,The average per capita income (EUR/year) [Province] is 13122.59. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2534.72. The primary sector share of total GVA/year [Province] is 3.67%. The secondary sector share of total GVA/year [Province] is 24.16%. The tertiary sector share of total GVA/year [Province] is 72.00%. The per capita income (EUR/year) [Region] is 16576.33. The total Gross Value Added (GVA) (EUR million/year) [Region] is 33268.83. The primary sector share of total GVA/year [Region] is 3.44%. The secondary sector share of total GVA/year [Region] is 30.35%. The tertiary sector share of total GVA/year [Region] is 67.00%.
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2167. The regional (Region) share of total BPs/year is 3.40%. The number of agricultural holdings in the LAU is 1686. The nearest settlement with population over 100000 (km) is 77.6. In this region protected areas are present.
Employment,The primary sector share of total employment/year [Province] is 20.11%. The secondary sector share of total employment/year [Province] is 34.59%. The tertiary sector share of total employment/year [Province] is 45.30%. The primary sector share of total employment/year [Region] is 13.25%. The secondary sector share of total employment/year [Region] is 48.20%. The tertiary sector share of total employment/year [Region] is 38.55%.
Interest on this VC,Sour Cherry Liqueur is available through e-commerce. Traitional product. Product highly connected to land use and landscape management.
Key local assets,Sour cherry tree (Prunus cerasus) is a deciduous plant with about 4.5 to 6 m high and more resistant to cold than cherry tree (Prunus avium). Flowering occurs from March to May. 
Challenges,Will climate change affect sour cherry trees distribution and sour cherries quality?. Overall the type of challenge faced by this VC is Predicted. This VC is classified as Traditional.
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Cropland. The local assets include N/A.
