title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
DO Douro Wine - Douro Superior - Vila Nova de Foz Côa,"The MOVING reference member state of this VC (Value Chain) is PORTUGAL ESTRELA. The reference MOVING Card ID of this VC is VC 01 PT. Among the main activities in the municipality of Vila Nova de Foz Côa, we highlight the production of wine, olive oil, almonds and tourism related to archeology, landscape, leisure and wine. As some of the main protagonists of the chain, we highlight the presence of wineries of national and international renown. Enhanse an environmental and viticultural conduct recognized due to the companies that integrate concerns with nature and biodiversity in their activity, where organic farming and 'Sustainable Wine Tourism Practices' are practiced. The wines that are produced here can be submitted to the DO Porto and DO Douro appellations for approval. Highlighting in this region the production of the mythical Barca Velha.","Vila Nova de Foz Côa, Portugal, Wine, Olive oil, Almond, Tourism, Archaeology, Landscape, Leisure, Organic farming, Sustainable tourism, Port wine, Dão wine","http://www.wikidata.org/entity/Q537471, http://www.wikidata.org/entity/Q45, http://www.wikidata.org/entity/Q282, http://www.wikidata.org/entity/Q93165, http://www.wikidata.org/entity/Q15545507, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q23498, http://www.wikidata.org/entity/Q107425, http://www.wikidata.org/entity/Q180910, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q1344240, http://www.wikidata.org/entity/Q191034, http://www.wikidata.org/entity/Q1269612","municipality in Portugal|country in Southwestern Europe|alcoholic drink typically made from grapes through the fermentation process|liquid fat extracted by pressing olives|species of plant|travel for pleasure or business|study of the past via material culture|visible features of an area of land|time that is freely used by individuals|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|form of travel without damage to nature or cultural area|Portuguese fortified wine|wine region","https://upload.wikimedia.org/wikipedia/commons/4/43/Vila_Nova_de_Foz_C%C3%B4a_%2813469416314%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Carte_du_Portugal.png,https://upload.wikimedia.org/wikipedia/commons/3/3c/Red_and_white_wine_12-2015.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Italian_olive_oil_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Prunus_dulcis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-250.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,https://upload.wikimedia.org/wikipedia/commons/7/7a/Clavo_de_fundaci%C3%B3n.JPG,https://upload.wikimedia.org/wikipedia/commons/1/14/Landscape_Arnisee-region.JPG,https://upload.wikimedia.org/wikipedia/commons/e/ec/Daniel_Hern%C3%A1ndez_-_Leisure_Moments.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,null,https://upload.wikimedia.org/wikipedia/commons/5/57/Port_wine.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3b/Dao_red_wine.jpg","41.083333333333 -7.1333333333333,38.7 -9.183333333333334,null,null,null,null,null,null,null,null,null,null,40.5199866 -7.887213"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Iberian Mountains; Massif Hespérico (Central Iberian Zone). The reference mountain landscape of this VC is (LAU1) 091419 - Vila Nova de Foz Côa. The geographical area of the Côa basin is delimited to the south by the Central Cordillera, being inserted in one of the main structural units of the Iberian Peninsula, the Hespérico Massif, more specifically, in the morpho-structural unit defined as Zona Centro Ibérica.","Vila Nova de Foz Côa, Côa River, Iberian Peninsula, Iberian Mountains","http://www.wikidata.org/entity/Q537471, http://www.wikidata.org/entity/Q14653, http://www.wikidata.org/entity/Q12837, http://www.wikidata.org/entity/Q201496",municipality in Portugal|river in Portugal|peninsula located in the extreme southwest of Europe|mountain range in Spain,"https://upload.wikimedia.org/wikipedia/commons/4/43/Vila_Nova_de_Foz_C%C3%B4a_%2813469416314%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/Rio_C%C3%B4a_Castelo_Bom.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Espa%C3%B1a_y_Portugal.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Spain-2008-29-11.png","41.083333333333 -7.1333333333333,40.274822222222 -6.9244833333333,40.24 -4.2391666666667,41.745833333333 -1.7813888888889"
Geography and population,The size of the area (km2) is 398.2. The minimum altimetry of the LAU (Local Administrative Unit) is 108. The maximum altimetry of the LAU is 800. The total population (in thousand) is 6.597. The population density (Inhabitants/km2) in the LAU is 18. The population change rate of the LAU in the last 10 years (%) has been -1.68%. The overall regional population density (Inhabitants/km2) is 170.1. The regional population change rate in the last 10 years (%) has been -0.60%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,"The average per capita income (EUR/year) [Province] is 9315. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2366.349. The primary sector share of total GVA/year [Province] is 12.90%. The secondary sector share of total GVA/year [Province] is 28.20%. The tertiary sector share of total GVA/year [Province] is 58.90%. The per capita income (EUR/year) [Region] is 11,587. The total Gross Value Added (GVA) (EUR million/year) [Region] is 52,078.44. The primary sector share of total GVA/year [Region] is 12.9%. The secondary sector share of total GVA/year [Region] is 28.2%. The tertiary sector share of total GVA/year [Region] is 58.9%.","Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 161. The regional (Region) share of total BPs/year is 1837. The number of agricultural holdings in the LAU is 1742. The nearest settlement with population over 100000 (km) is 100. In this region protected areas 3 present.,"Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 9.10%. The secondary sector share of total employment/year [Province] is 32.90%. The tertiary sector share of total employment/year [Province] is 58.00%. The primary sector share of total employment/year [Region] is 9.1%. The secondary sector share of total employment/year [Region] is 32.9%. The tertiary sector share of total employment/year [Region] is 58%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,"High quality and internationally renowned product. The characteristics of the territory such as soil, climate, altitude, slope, precipitation give the wines unique characteristics. Territory with a striking historical past in the area of viticulture and classified by UNESCO as a World Heritage Site (Alto Douro Wine Region and Coa Valley Archaeological Park). Currently, there are studies in progress to assess the impact of climate change in the Vale do Côa region. The 'CoaClimateRisk project - The impact of climate change and adaptation measures for the main agricultural crops in the Vale do Côa region' was recently approved. These forecasts will assist as a tool to support decision making by agents of the agricultural sector in the region, in the medium and long term. Rural tourism/wine tourism is a rapidly growing sector in the region, with an increase in the number of guests, overnight stays and hotel establishments. The promotion of creative and nature tourism in the villages of the municipality can effectively constitute an opportunity to keep the dynamism of these places active, constituted by a small number of inhabitants, bringing new business opportunities and differentiation of the existing products. We highlight the environmental conduct of some companies in the municipality. Some companies currently integrate concerns with nature, biodiversity and sustainability in their activity.","UNESCO, Alto Douro, Vale, UNESCO World Heritage Site, Alto Douro Wine Region, Climate change, Agritourism, Wine tourism, Sustainability, Biodiversity","http://www.wikidata.org/entity/Q7809, http://www.wikidata.org/entity/Q4736784, http://www.wikidata.org/entity/Q294064, http://www.wikidata.org/entity/Q9259, http://www.wikidata.org/entity/Q1094448, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q1956672, http://www.wikidata.org/entity/Q2180552, http://www.wikidata.org/entity/Q219416, http://www.wikidata.org/entity/Q47041","specialised agency of the United Nations for education, sciences, and culture|Wikimedia disambiguation page|Wikimedia disambiguation page|place of significance listed by UNESCO|Portuguese wine|human-caused changes to climate on Earth|agriculturally based operation or activity that brings visitors to a farm or ranch|A type of tourism that involves traveling to wine-producing regions, which includes wine tasting, visiting wineries, and getting acquainted with the culture and history of winemaking|ability of human civilization to coexist with the biosphere in a steady state|degree of variation of life forms","null,null,null,https://upload.wikimedia.org/wikipedia/commons/e/e9/Canal_du_Centre_-_Ascenseur_no_2%2C_Houdeng-Aimeries_%28DSCF7937%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/R%C3%A9gua_Douro_4.JPG,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,null,null,https://upload.wikimedia.org/wikipedia/commons/a/a5/Visualization_of_pillars_of_sustainability.webp,https://upload.wikimedia.org/wikipedia/commons/c/cd/Animal_diversity_October_2007.jpg","48.84972222222222 2.306111111111111,null,null,null,41.10166666666667 -7.7988888888888885,null,null,null,null,null"
Key local assets,"The municipality of Vila Nova de Foz Côa is integrated in the Douro Wine Region, the oldest demarcated and regulated wine region in the world, embraced almost entirely by the NUT III of the Douro. Due to its rugged orography and the slopes of its more or less pronounced hillside, viticulture practiced in the Douro Demarcated Region (RDD) is called mountain viticulture, a reference confirmed by data from the Joint Reseach Center/European Commission. The Man´s work in this landscape of rare beauty made it possible to establish populations, and it resulted in a living and evolutionary reality, proof of the past and the motor of the future, strongly anchored in the optimization of natural resources and the preservation of the environment. The region is characterized by a temperate and warm climate, Mediterranean type. In winter, the temperature is moderate, with solid precipitation rarely occurring. Summers are hot to very hot with temperatures above 30 C, reaching 40 in heat wave situations. In autumn and winter, rainfall is relatively abundant, with interannual variation, characteristic of Mediterranean climates. Spring and summer are dry, with rare rainfall in July and August. The region produces the world famous Port Wine, which has been around for three centuries in commercialization, in the international market, main vector of dynamizing the culture, traditions and economy. Port wine opened doors to the 'Douro wine which, with only two decades of existence, is increasingly referenced in the specialty's bibliography, revealing great potential and growing notoriety. As for complementary products from mountain regions, such as olive oil and almonds, these contribute to the preservation of the diversity of cultures, sustainability and the ecological balance and landscape of the Douro. ","Vila Nova de Foz Côa, Douro, European Commission, Mediterranean climate, Mediterranean Sea, Douro wine region, NUTS, Port wine, Olive oil, Almond","http://www.wikidata.org/entity/Q537471, http://www.wikidata.org/entity/Q14299, http://www.wikidata.org/entity/Q8880, http://www.wikidata.org/entity/Q13996, http://www.wikidata.org/entity/Q4918, http://www.wikidata.org/entity/Q1094448, http://www.wikidata.org/entity/Q1265417, http://www.wikidata.org/entity/Q191034, http://www.wikidata.org/entity/Q93165, http://www.wikidata.org/entity/Q15545507","municipality in Portugal|river in Spain and Portugal|executive branch of the European Union|type of climate characterised by mild to cold wet winters and mild to hot dry summers|sea between Europe, Africa and Asia|Portuguese wine|Wikimedia disambiguation page|Portuguese fortified wine|liquid fat extracted by pressing olives|species of plant","https://upload.wikimedia.org/wikipedia/commons/4/43/Vila_Nova_de_Foz_C%C3%B4a_%2813469416314%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Vila_Nova_de_Foz_Coa_rio_Douro_%2814282784962%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Reuni%C3%B3n_con_Vicepresidenta_de_la_Comisi%C3%B3n_Europea_y_Alta_Representante_para_la_Pol%C3%ADtica_Exterior_y_de_Seguridad_de_la_UE_%286856953422%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/KoppenclassificationworldmapCs.png,https://upload.wikimedia.org/wikipedia/commons/d/d8/Mediterranean_Sea_political_map-en.svg,https://upload.wikimedia.org/wikipedia/commons/8/8f/R%C3%A9gua_Douro_4.JPG,null,https://upload.wikimedia.org/wikipedia/commons/5/57/Port_wine.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Italian_olive_oil_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Prunus_dulcis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-250.jpg","41.083333333333 -7.1333333333333,41.983333333333334 -2.9,null,null,38 17,41.10166666666667 -7.7988888888888885,null,null,null,null"
Challenges,"The municipality of Vila Nova de Foz Côa is characterized by having a dispersed population, for which the existence of agricultural soils (vines, almond and olive trees) is decisive, in an association of smallholdings with significant extensions of vineyards, where this is assumed as the predominant culture. Road accessibility has improved a lot in recent years, but it is still 'difficult' to get there. The impact of climate change in the Vila Nova de Foz Côa region have been similar to the environmental changes occurred in the rest of the Douro region. High temperatures Summers, heat waves, prolonged and intense droughts have been experienced throughout the region. These changes call into question the survival of some crops, including vines. The adaptation of the production methods and agricultural crops is essential. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.","Vila Nova de Foz Côa, Douro, Municipality, Agriculture, Viticulture, Almond, Olive tree, Climate change, Heat wave, Drought, Crop","http://www.wikidata.org/entity/Q537471, http://www.wikidata.org/entity/Q14299, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q15545507, http://www.wikidata.org/entity/Q37083, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q215864, http://www.wikidata.org/entity/Q43059, http://www.wikidata.org/entity/Q235352","municipality in Portugal|river in Spain and Portugal|administrative division having corporate status and usually powers of self-government or jurisdiction|cultivation of plants and animals to provide useful products|science, production and study of grapes|species of plant|olive plant, species of plant used as food|human-caused changes to climate on Earth|prolonged period of excessively hot weather|extended period when a region notes a deficiency in its water supply|plant that can be grown and harvested extensively for profit or subsistence","https://upload.wikimedia.org/wikipedia/commons/4/43/Vila_Nova_de_Foz_C%C3%B4a_%2813469416314%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Vila_Nova_de_Foz_Coa_rio_Douro_%2814282784962%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Prunus_dulcis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-250.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/El_Perell%C3%B3_-_Old_olive_tree.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Wcmax1_JUL_14_-_AUG_3_2019_cr.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/Drought.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Oedelem_Weg_naar_Sint-Kruis_R01.jpg","41.083333333333 -7.1333333333333,41.983333333333334 -2.9,null,null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous. Many companies present in the region with solid export volumes. Conversion of vineyards to organic production. Replanting old vineyard with the same traditional grape varieties. Investment by young farmers in the region through the production of wine (and olive oil). Growth of wine tourism, tourism supported by the skills of the municipality (wine, almonds, olive oil and schist) is fundamental for the development of the territory. Vila Nova de Foz Côa, over the years, has been prominent as a tourist destination. Landscapes, heritage, culture, traditions and gastronomy are the basis for the development of rural tourism. The Côa Museum stands out as a portal that allows visitors to discover the rock art of the Côa and Douro valleys.The Museum is also a welcoming center for researchers who wish to study the Côa, taking advantage of the largest national library dedicated to rock art. The region stands out for being the only one to be classified as a World Heritage Site by UNESCO - the paleolithic rock engravings located in the Côa river valley and the Alto Douro Wine Region. The innovation is related to New product, new process, new marketing strategy and New governance systems. The land use systems involved are Crop land, grassland, forestry and natural land. The local assets include Natural, social and cultural.","Vila Nova de Foz Côa, Coaș, Côa River, Douro, UNESCO, Value chain, Endogenous growth theory, Rock art, Paleolithic, World Heritage Site, Cropland, Grassland, Forestry, Natural environment","http://www.wikidata.org/entity/Q537471, http://www.wikidata.org/entity/Q5055557, http://www.wikidata.org/entity/Q14653, http://www.wikidata.org/entity/Q14299, http://www.wikidata.org/entity/Q7809, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q576355, http://www.wikidata.org/entity/Q1211146, http://www.wikidata.org/entity/Q40203, http://www.wikidata.org/entity/Q9259, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q43619","municipality in Portugal|commune in Maramureș County, Romania|river in Portugal|river in Spain and Portugal|specialised agency of the United Nations for education, sciences, and culture|functions of a company affecting its costs and quality and give it a competitive advantage|theory that economic growth is mainly due to endogenous (not external) forces|human-made markings on natural stone|prehistoric period, first part of the Stone Age|place of significance listed by UNESCO|land used for agricultural purposes|area with vegetation dominated by grasses|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|all living and non-living things occurring naturally on Earth or some region thereof","https://upload.wikimedia.org/wikipedia/commons/4/43/Vila_Nova_de_Foz_C%C3%B4a_%2813469416314%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/RO_MM_Coas_churches_1.jpg,https://upload.wikimedia.org/wikipedia/commons/3/31/Rio_C%C3%B4a_Castelo_Bom.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Vila_Nova_de_Foz_Coa_rio_Douro_%2814282784962%29.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/8/83/Charewa_Animal_symbols.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Nucleus_Brassempouy_Global_fond.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Canal_du_Centre_-_Ascenseur_no_2%2C_Houdeng-Aimeries_%28DSCF7937%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg","41.083333333333 -7.1333333333333,47.5109139 23.6103013,40.274822222222 -6.9244833333333,41.983333333333334 -2.9,48.84972222222222 2.306111111111111,null,null,null,null,null,null,null,null,null"
