title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Artisanal beer from Stjordal,"The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 01 SCA. Although there are hundreds of ways to brew the local traditional beer, they all share a common feature, the smoky taste. The general process is as follows. First the grains are soaked and cleaned. Afterwards they are spread on a growing frame and they are moved by hand several times per day to keep the heat evenly distributed among the grains. Four days after, the grains are dried in the traditional Sainna (a fire drier with wooden planks with holes on top of which the grains are spread). Here is where the grains get the smoky flavour. Finally, after around eight days of hand work with the grains, they are ready to be brewed. Up to 22 beer breweries can be found in this municipality and also few malthouses. In addition, there is an annual beer festival where most of those hundreds of small brewers participate and the best Stjørdalsøl brewer is crowned.","Moving, Value chain, Scandinavia, Beer, Grain, Malthouse, Municipality","http://www.wikidata.org/entity/Q1047402, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q21195, http://www.wikidata.org/entity/Q44, http://www.wikidata.org/entity/Q2995529, http://www.wikidata.org/entity/Q943876, http://www.wikidata.org/entity/Q15284","Wikimedia disambiguation page|functions of a company affecting its costs and quality and give it a competitive advantage|region in Northern Europe|alcoholic beverage obtained by fermenting starchy materials and not distilled|small, hard, dry seed used as food; may be ground into flour|building where cereal grain is converted into malt|administrative division having corporate status and usually powers of self-government or jurisdiction","null,null,https://upload.wikimedia.org/wikipedia/commons/5/57/Scandinavia.svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/NCI_Visuals_Food_Beer.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/040719_172_dorset_marnhull.jpg,https://upload.wikimedia.org/wikipedia/commons/2/27/M%C3%A4lzerei_Lichtenrade_20140429_59.jpg,null","null,null,64.779642 14.760936,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Stjørdal. The MRL is crossed by the Stjørdalselva river until its arrival to the Trondheim fiord. The Eastern part of the municipality belongs to the Skarvan and Roltdalen National Park. Due to its proximity to Trondheim, the municipality is developing an urbanization process. Simultaneously, there are still multiple local VCs within the AUK - SMAKER FRA STJØRDALSFØRET, such as organic vegetable farming, family dairies, beekeeping , eggs, berry farms, traditional bakery, coffee distillery, and rural touristic accommodation. In addition, the valley has long tradition in beer brewing.","Stjørdalselva, Trondheim, Skarvan and Roltdalen National Park, Scandinavian Mountains, Stjørdal, Trondheimsfjorden, Beekeeping, Brewing","http://www.wikidata.org/entity/Q1515239, http://www.wikidata.org/entity/Q25804, http://www.wikidata.org/entity/Q185284, http://www.wikidata.org/entity/Q186547, http://www.wikidata.org/entity/Q217802, http://www.wikidata.org/entity/Q279579, http://www.wikidata.org/entity/Q176353, http://www.wikidata.org/entity/Q869095","river in Trøndelag, Norway|city in Trøndelag, Norway|national park in Trøndelag, Norway|mountain range in Finland, Norway and Sweden|municipality in Trøndelag, Norway|inlet of the Norwegian Sea in Norway|care and breeding of honey bees|process in the production of beer, ale, or other beverages","https://upload.wikimedia.org/wikipedia/commons/1/1f/Stj%C3%B8rdalen.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e0/Overview_of_Trondheim_2008_03.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Fonnfjellet.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9b/Ahkka_from_Maukojaureh.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Stj%C3%B8rdal%2C_flyfoto_fra_%C3%B8st_%282019%29.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Aasenfiord.JPG,https://upload.wikimedia.org/wikipedia/commons/0/01/INTA_-_productoras_ap%C3%ADcolas_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Bierbrauer.jpg","63.44722222 10.90666667,63.44 10.4,63.216666666667 11.416666666667,65 14,63.475 11.170833333333,63.5 10.466666666667,null,null"
Geography and population,The size of the area (km2) is 938.27. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1171. The total population (in thousand) is 24.145. The population density (Inhabitants/km2) in the LAU is 25.74. The population change rate of the LAU in the last 10 years (%) has been 12.96%. The overall regional population density (Inhabitants/km2) is 11.11. The regional population change rate in the last 10 years (%) has been 10.08%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 43700.86. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5313.71. The primary sector share of total GVA/year [Province] is 7.89%. The secondary sector share of total GVA/year [Province] is 18.80%. The tertiary sector share of total GVA/year [Province] is 66.36%. The per capita income (EUR/year) [Region] is 54460.72. The total Gross Value Added (GVA) (EUR million/year) [Region] is 22400.21. The primary sector share of total GVA/year [Region] is 5.35%. The secondary sector share of total GVA/year [Region] is 16.31%. The tertiary sector share of total GVA/year [Region] is 78.34%.,"Deutsche Mark, Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q16068, http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","official currency of West Germany and later Germany from 1948 to 2002|average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","https://upload.wikimedia.org/wikipedia/commons/b/b8/1_mark_brd_1967_retouched.jpg,null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 15554. The regional (Region) share of total BPs/year is 38.29%. The number of agricultural holdings in the LAU is 3027. The nearest settlement with population over 100000 (km) is 33.7. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 1.09%. The secondary sector share of total employment/year [Province] is 19.27%. The tertiary sector share of total employment/year [Province] is 79.63%. The primary sector share of total employment/year [Region] is 2.54%. The secondary sector share of total employment/year [Region] is 20.19%. The tertiary sector share of total employment/year [Region] is 77.27%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"High quality product linked to an old tradition in the region. The innovation is related to the search for new markets beyond the locality, as this VC has traditionally been mostly focused at local scale. In addition, the Growling service is an innovation in the way this product is purchased.","Tradition, Innovation, Market, Locality, Venture capital","http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q1277907, http://www.wikidata.org/entity/Q12131673, http://www.wikidata.org/entity/Q219409","custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|Wikimedia disambiguation page|Wikimedia disambiguation page|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth","https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null,null,null,null","null,null,null,null,null"
Key local assets,"There is a strong beer brewing tradition in the area. There are up to hundreds of small producers that brew their own beer in groups of friends or family just for their own enjoyment and consumption. Knowledge on the basic steps to make this smoked beer is shared among the brewers to maintain alive the tradition, but each of them keep their own recepies' secret, giving this way a great diversity to the local beers. Normally, they use local malt for the breweries and no hops. Instead they add juniper seeds to the water to give flavours from local forests. ","Beer, Smoked beer, Malt, Hops, Juniper, Brewery","http://www.wikidata.org/entity/Q44, http://www.wikidata.org/entity/Q597787, http://www.wikidata.org/entity/Q152024, http://www.wikidata.org/entity/Q3214940, http://www.wikidata.org/entity/Q25662, http://www.wikidata.org/entity/Q131734",alcoholic beverage obtained by fermenting starchy materials and not distilled|Smoked malt beer|germinated cereal grains that have been dried|female flowers of Humulus lupulus|genus of plants|business that makes and sells beer,"https://upload.wikimedia.org/wikipedia/commons/e/e3/NCI_Visuals_Food_Beer.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c5/Aecht_schlenkerla_rauchbier.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Cebadas_de_Cerveza.png,https://upload.wikimedia.org/wikipedia/commons/7/79/Cross-section_of_hop_cone.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Juniperus_phoenicea_berries.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/8210_Brewery_in_Abbaye_Notre-Dame_de_Saint-Remy_Rochefort_2007_Luca_Galuzzi.jpg","null,null,null,null,null,null"
Challenges,"Their key challenge is to get a niche in the market outside of the locality. Being an artisanal production, those who want to make a living with it need to improve their market position. They are already doing so by developing e-commerce and also joining regional associations of local producers. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.","Market, E-commerce, Association, Producer, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q1277907, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q2864132, http://www.wikidata.org/entity/Q27887, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","Wikimedia disambiguation page|type of business industry usually conducted over the Internet|Wikimedia disambiguation page|Wikimedia disambiguation page|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","null,null,null,null,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The product itself is very traditional. The artisanal making guarantees its uniqueness. However, there are some breweries that are developing their marketing strategies and setting e-commerce and websites. In addition, some are part of the local label AUK SMAKER FRA STJØRDALSFØRET, which also helps to reach new customers and to sell online. Besides, they offer the Growling, a service that allows customers to refill their bottles in the brewery. The innovation is related to New products and New marketing strategies. The land use systems involved are Cropland and Forestry. The local assets include Natural, social and cultural.","Value chain, E-commerce, Website, Stjørdal, New product development, Marketing strategy, Cropland, Forestry, Nature, Social capital, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q35127, http://www.wikidata.org/entity/Q217802, http://www.wikidata.org/entity/Q1395034, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|type of business industry usually conducted over the Internet|set of related web pages served from a single web domain|municipality in Trøndelag, Norway|complete process of bringing a new product to market|business strategy for marketing and advertising|land used for agricultural purposes|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|natural, physical, or material world and its phenomena|sociology concept|shared aspects of a society's way of life","null,null,https://upload.wikimedia.org/wikipedia/commons/6/6c/Activite3.2.1_Pr%C3%A9parer_un_document_Web_%C3%A0_l%E2%80%99accessibilit%C3%A9.png,https://upload.wikimedia.org/wikipedia/commons/a/a4/Stj%C3%B8rdal%2C_flyfoto_fra_%C3%B8st_%282019%29.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/TypesOfNewProducts.svg,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,63.475 11.170833333333,null,null,null,null,null,null,null"
