title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Pasta from Múcsony - a social economy project,The MOVING reference member state of this VC (Value Chain) is HUNGARY. The reference MOVING Card ID of this VC is VC 17 HU. Homemade pasta free of additives and artificial substances. The pasta is from only two ingredients: flour and eggs. They produce the raw materials needed for production almost entirely locally (they also have eggs and their own mills). Their products are also sold in nearby local grocery stores. The product is beautifully packaged and high quality. The project operates within the framework of a social enterprise for social and economic purposes.,"Hungary, Moving, Value chain, Pasta, Flour, Egg, Mill, Grocery store, Social enterprise","http://www.wikidata.org/entity/Q28, http://www.wikidata.org/entity/Q1047402, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q178, http://www.wikidata.org/entity/Q36465, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q4761205, http://www.wikidata.org/entity/Q1295201, http://www.wikidata.org/entity/Q1071015","country in Central Europe|Wikimedia disambiguation page|functions of a company affecting its costs and quality and give it a competitive advantage|Italian food made from flour, eggs and water and shaped in different forms, usually cooked and served with a sauce|powder which is made by grinding cereal grains|organic vessel in which an embryo first begins to develop|Wikimedia disambiguation page|retail store that primarily sells food and other household supplies|type of organization with social objectives","https://upload.wikimedia.org/wikipedia/commons/f/fd/20190502_Widok_na_Budapeszt_z_G%C3%B3ry_Gellerta_1651_2150_DxO.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/3/33/Pasta_IMG_3985.JPG,https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,null,https://upload.wikimedia.org/wikipedia/commons/6/67/A_grocery_store_in_Cheung_Hong_Estate.jpg,null","47 19,null,null,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Northern Medium Mountains. The reference mountain landscape of this VC is Múcsony. Múcsony is a village in Borsod-Abaúj-Zemplén county, Kazincbarcika district. It is located in the valley of the Szuha and Sajó, 23 km north of Miskolc (the nearest larger town). There used to be a brick factory here, followed by a mine that closed in the early 1990s.","Múcsony, Kazincbarcika, Szuha, Sajó, Miskolc, Borsod-Abaúj-Zemplén County","http://www.wikidata.org/entity/Q1089706, http://www.wikidata.org/entity/Q214942, http://www.wikidata.org/entity/Q1089067, http://www.wikidata.org/entity/Q576032, http://www.wikidata.org/entity/Q102397, http://www.wikidata.org/entity/Q188895",village in Hungary|town in Hungary|municipality of Hungary|river|city in Northeastern Hungary|county of Hungary,"https://upload.wikimedia.org/wikipedia/commons/e/e0/M%C3%BAcsony%2C_Fogadalmi_M%C3%A1ria_k%C3%A1polna.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ac/Sz%C5%91ke_G%C3%A1bor_Mikl%C3%B3s_%E2%80%93_Unikornis.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/1145.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/A_Saj%C3%B3_foly%C3%B3_Saj%C3%B3n%C3%A9metin%C3%A9l.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a6/Megyesz%C3%A9khely_-_Borsod-Aba%C3%BAj-Zempl%C3%A9n_megye_-_Miskolc.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Boldogk%C5%91_Castle_-_view_from_the_castle_-_Hungary.jpg","48.268661111111 20.681930555556,48.253055555556 20.645555555556,47.971819444444 19.916411111111,48.834096 20.241595,48.1 20.783333333333335,48.25 21"
Geography and population,The size of the area (km2) is 18. The minimum altimetry of the LAU (Local Administrative Unit) is 201. The maximum altimetry of the LAU is unspecified. The total population (in thousand) is 2.888. The population density (Inhabitants/km2) in the LAU is 160.44. The population change rate of the LAU in the last 10 years (%) has been -0.11%. The overall regional population density (Inhabitants/km2) is 83.54. The regional population change rate in the last 10 years (%) has been -0.07%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 6560. The total Gross Value Added (GVA) (EUR million/year) [Province] is 5560. The primary sector share of total GVA/year [Province] is 3.88%. The secondary sector share of total GVA/year [Province] is 34.68%. The tertiary sector share of total GVA/year [Province] is 61.44%. The per capita income (EUR/year) [Region] is 11195. The total Gross Value Added (GVA) (EUR million/year) [Region] is 9488. The primary sector share of total GVA/year [Region] is 4.14%. The secondary sector share of total GVA/year [Region] is 33.47%. The tertiary sector share of total GVA/year [Region] is 62.38%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 0. The regional (Region) share of total BPs/year is 8.64%. The number of agricultural holdings in the LAU is 37. The nearest settlement with population over 100000 (km) is 24. In this region protected areas are not present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 3.89%. The secondary sector share of total employment/year [Province] is 40.14%. The tertiary sector share of total employment/year [Province] is 55.97%. The primary sector share of total employment/year [Region] is 3.89%. The secondary sector share of total employment/year [Region] is 40.14%. The tertiary sector share of total employment/year [Region] is 55.97%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg","null,null,null,null"
Interest on this VC,"In the framework of a local social economy public employment programme, run by the local authority, they produce eggs then make pasta in a small processing plant. They also have a small mill to produce flower. Pasta is partly used by the local public kitchen, partly sold in nearby local grocery stores. The project provides employment for disadvantaged social groups (Roma mainly). The social enterprise implemented by the local government is an innovative way to ensure the employment of disadvantaged people living in the village. A high level of trust and co-operative culture has been developed in order to achieve both social and economic goals in the context of sustainable production.","Roma, Romani people, Social economy, Local government, Egg, Pasta, Mill, Flower, Grocery store, Social enterprise, Sustainable development, Cooperative","http://www.wikidata.org/entity/Q227814, http://www.wikidata.org/entity/Q8060, http://www.wikidata.org/entity/Q568301, http://www.wikidata.org/entity/Q6501447, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q178, http://www.wikidata.org/entity/Q4761205, http://www.wikidata.org/entity/Q506, http://www.wikidata.org/entity/Q1295201, http://www.wikidata.org/entity/Q1071015, http://www.wikidata.org/entity/Q131201, http://www.wikidata.org/entity/Q4539","Wikimedia disambiguation page|Indo-Aryan ethnic group|type of economy|lowest tier of administration within a sovereign state|organic vessel in which an embryo first begins to develop|Italian food made from flour, eggs and water and shaped in different forms, usually cooked and served with a sauce|Wikimedia disambiguation page|sexual reproductive structure found on flowering plants|retail store that primarily sells food and other household supplies|type of organization with social objectives|mode of human development that meets current demands without compromising the needs of future generations|autonomous association of persons or organizations","null,https://upload.wikimedia.org/wikipedia/commons/3/3a/Bain_rituel_dans_la_mer_aux_Saintes-Maries.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Pasta_IMG_3985.JPG,null,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flores.gif,https://upload.wikimedia.org/wikipedia/commons/6/67/A_grocery_store_in_Cheung_Hong_Estate.jpg,null,https://upload.wikimedia.org/wikipedia/commons/7/70/Sustainable_development.svg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg","null,null,null,null,null,null,null,null,null,null,null,null"
Key local assets,"The VC uses the natural resources of the area, for the production of eggs and flour. The cooperation of the village, the local human resources is one of the cornerstones of the project. ","Village cooperative, Natural resource, Egg, Flour, Village, Human resources, Project","http://www.wikidata.org/entity/Q17281211, http://www.wikidata.org/entity/Q188460, http://www.wikidata.org/entity/Q17147, http://www.wikidata.org/entity/Q36465, http://www.wikidata.org/entity/Q532, http://www.wikidata.org/entity/Q5467169, http://www.wikidata.org/entity/Q170584","null|naturally occurring resource, including mineral resources (e.g. metal ores), mined fossil fuels (e.g. petroleum), water resources (e.g. lakes and groundwater), water energy resources, timber, arable land, game (e.g. deer), fish in water bodies, etc.|organic vessel in which an embryo first begins to develop|powder which is made by grinding cereal grains|small clustered human settlement smaller than a town|people who make up an organization's workforce|collaborative enterprise, frequently involving research or design, that is carefully planned to achieve a particular aim","null,https://upload.wikimedia.org/wikipedia/commons/b/b0/Tussen_Twist_en_Nieuw_Schoonebeek%2C_Alte_en_Neue_Energie_foto5_2016-09-25_14.29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0e/Chicken_eggs.jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Betley-_The_main_road%2C_looking_north%2C_the_postmans_bike_at_rest_-_geograph.org.uk_-_147874.jpg,null,null","null,null,null,null,null,null,null"
Challenges,"Climate change (warming, new pests, extreme weather conditions). Various viruses can appear that can interfere with egg production. Narrowing sales channels. Problems of social enterprise labor supply and work ethic. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","Climate change, Virus, Egg production, Distribution channel, Social enterprise, Labor economics, Work ethic, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q808, http://www.wikidata.org/entity/Q93189, http://www.wikidata.org/entity/Q867147, http://www.wikidata.org/entity/Q1071015, http://www.wikidata.org/entity/Q28161, http://www.wikidata.org/entity/Q3426207, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","human-caused changes to climate on Earth|non-cellular, submicroscopic infectious agent that replicates only inside the living cells of an organism|edible animal product|business activity of making products available to end customers|type of organization with social objectives|functioning and dynamics of the markets for labour|belief in the virtues of labor|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Rotavirus_Reconstruction.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Eierdoos.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/HK_Sheung_Wan_Morrison_Street_Vita_lemon_tea_outdoor_logistics_workers_Truck_Aug-2010.JPG,null,null,https://upload.wikimedia.org/wikipedia/commons/5/51/Karlsruhe_MBV_Tor.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. Pasta preparation and hen keeping, flour grinding are traditional activities. The VC is implemented within the framework of a social enterprise, initiated by the local municipality (to provide work opportunities for locals and to gain some money). They are able to produce relatively large quantities of pasta, which they sell in nearby and local grocery stores. The product is nicely packaged and high quality. Their products are also preservative-free and healthy. The innovation is related to New governance systems. The land use systems involved are Cropland and hen house. The local assets include Natural and social.","Value chain, Endogenous growth theory, Exogenous variable, Pasta, Chicken, Flour, Social enterprise, Municipality, Grocery store, Governance, Land use, Cropland, Nature, Social","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q576355, http://www.wikidata.org/entity/Q61985482, http://www.wikidata.org/entity/Q178, http://www.wikidata.org/entity/Q780, http://www.wikidata.org/entity/Q36465, http://www.wikidata.org/entity/Q1071015, http://www.wikidata.org/entity/Q15284, http://www.wikidata.org/entity/Q1295201, http://www.wikidata.org/entity/Q1553864, http://www.wikidata.org/entity/Q1165944, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q8425","functions of a company affecting its costs and quality and give it a competitive advantage|theory that economic growth is mainly due to endogenous (not external) forces|variables in an economic model|Italian food made from flour, eggs and water and shaped in different forms, usually cooked and served with a sauce|domesticated bird kept by humans primarily as a food source|powder which is made by grinding cereal grains|type of organization with social objectives|administrative division having corporate status and usually powers of self-government or jurisdiction|retail store that primarily sells food and other household supplies|all of the processes of governing, whether undertaken by a government, market or network, whether over a family, tribe, formal or informal organization or territory and whether through the laws, norms, power or language of an organized society|characterization of land based on what can be built on it and what the land can be used for|land used for agricultural purposes|natural, physical, or material world and its phenomena|group of people connected to each other","null,null,null,https://upload.wikimedia.org/wikipedia/commons/3/33/Pasta_IMG_3985.JPG,https://upload.wikimedia.org/wikipedia/commons/e/e3/Kruppert_Cubalaya_cropped.JPG,https://upload.wikimedia.org/wikipedia/commons/0/09/Flours.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/6/67/A_grocery_store_in_Cheung_Hong_Estate.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA_%281%29.jpg","null,null,null,null,null,null,null,null,null,null,null,null,null,null"
