title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
"Activities based on apple production in Mount Pelium and especially from Zagora area, Thessaly","The MOVING reference member state of this VC (Value Chain) is GREECE. The reference MOVING Card ID of this VC is VC 18 GR. The natural beauty of Pelium, a mountain with close proximity to the sea, along with the well-organized traditional apple cultivation create a composite bundle of activities in the area, compising of touristic, forest and farming activities. The local apple producers and their families retain their bonds and their resilience mainly because of their income from apples. The extrovent local cooperative has introduced innovations in production (organic cultivation and control of pests and diseases) and in marketing, which are vital for the sustainability of the area. The authorities in local and regional level and academic institutions contribute to the efforts. The resilience of the mountainers has a positive impact to the preservation of the forest and the development of complementary activities (truffles/mushrooms, apicature, logging, etc.).","Greece, Mount Pelion, Apple, Organic farming, Pest, Disease, Truffle, Mushroom, Beekeeping, Logging","http://www.wikidata.org/entity/Q41, http://www.wikidata.org/entity/Q1334825, http://www.wikidata.org/entity/Q89, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q235306, http://www.wikidata.org/entity/Q12136, http://www.wikidata.org/entity/Q2690965, http://www.wikidata.org/entity/Q83093, http://www.wikidata.org/entity/Q176353, http://www.wikidata.org/entity/Q845249","country in Southeast Europe|mountain at the southeastern part of Thessaly in central Greece|edible fruit of the apple tree|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|Wikimedia disambiguation page|abnormal condition negatively affecting organisms|fruiting body of a subterranean fungus (here focus on cuisine, not on taxonomy)|spore-bearing fruiting body of a fungus|care and breeding of honey bees|cutting, skidding, on-site processing, and loading of trees or logs onto transport vehicles","https://upload.wikimedia.org/wikipedia/commons/9/9e/The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Pilion_with_monastery_pau.JPG,https://upload.wikimedia.org/wikipedia/commons/f/f4/Honeycrisp.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,null,https://upload.wikimedia.org/wikipedia/commons/c/cb/Mycobacterium_tuberculosis.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Truffle_4.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c2/Amanita_muscaria_%28fly_agaric%29.JPG,https://upload.wikimedia.org/wikipedia/commons/0/01/INTA_-_productoras_ap%C3%ADcolas_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Felling_a_gumtree_c1884-1917_Powerhouse_Museum.jpg","38.5 23,39.433333333333 23.05,null,null,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Pelium Mountain. The reference mountain landscape of this VC is EL613. The area of Zagora in Pelium mountain is thickly forested, with both deciduous and perennial forests, mainly of beech, oak, maple and chestnut trees, with olive, apple, pear trees and plane tree groves surrounding places with water. Both slopes of Pelium end to the sea. The closest town is Volos ( 50km, 1h15m), a pictueresque place with an important harbor.","Zagora, Morocco, Volos, Pelium, Beech, Oak, Maple, Chestnut, Olive, Apple, Pear, Plane tree","http://www.wikidata.org/entity/Q140354, http://www.wikidata.org/entity/Q200036, http://www.wikidata.org/entity/Q19298349, http://www.wikidata.org/entity/Q25403, http://www.wikidata.org/entity/Q12004, http://www.wikidata.org/entity/Q42292, http://www.wikidata.org/entity/Q129324, http://www.wikidata.org/entity/Q37083, http://www.wikidata.org/entity/Q89, http://www.wikidata.org/entity/Q434, http://www.wikidata.org/entity/Q163025","Town in Morocco|coastal port city in Thessaly, Greece|Wikimedia disambiguation page|genus of plants|genus of plants|genus of plants|genus of plants|olive plant, species of plant used as food|edible fruit of the apple tree|genus of plants|genus of plants","https://upload.wikimedia.org/wikipedia/commons/3/3d/Zagora.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Volos_view_from_Pelion_%28cropped%29.JPG,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/European_beech_%28Fagus_sylvatica%29_in_Humlamaden_1516.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/Quercus_robur.jpg,https://upload.wikimedia.org/wikipedia/commons/5/55/Acer_pseudoplatanus_002.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Ch%C3%A2taignier_120807_1.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/El_Perell%C3%B3_-_Old_olive_tree.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Honeycrisp.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/%28MHNT%29_Poirier_Fleurs_et_feuilles.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Platanus_orientalis-IMG_5938.jpg","30.331611111111 -5.8375694444444,39.361111111111 22.9425,null,null,null,null,null,null,null,null,null"
Geography and population,The size of the area (km2) is 150.3. The minimum altimetry of the LAU (Local Administrative Unit) is 0. The maximum altimetry of the LAU is 1624. The total population (in thousand) is 202.401. The population density (Inhabitants/km2) in the LAU is 78.20. The population change rate of the LAU in the last 10 years (%) has been -0.03%. The overall regional population density (Inhabitants/km2) is 51.4. The regional population change rate in the last 10 years (%) has been -0.04%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 12600. The total Gross Value Added (GVA) (EUR million/year) [Province] is 2223.65. The primary sector share of total GVA/year [Province] is 5.28%. The secondary sector share of total GVA/year [Province] is 18.57%. The tertiary sector share of total GVA/year [Province] is 76.14%. The per capita income (EUR/year) [Region] is 12600. The total Gross Value Added (GVA) (EUR million/year) [Region] is 7853.08. The primary sector share of total GVA/year [Region] is 11.89%. The secondary sector share of total GVA/year [Region] is 16.96%. The tertiary sector share of total GVA/year [Region] is 71.03%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2360. The regional (Region) share of total BPs/year is 0.256%. The number of agricultural holdings in the LAU is 13354. The nearest settlement with population over 100000 (km) is 54. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 11.07%. The secondary sector share of total employment/year [Province] is 17.69%. The tertiary sector share of total employment/year [Province] is 71.22%. The primary sector share of total employment/year [Region] is 21.40%. The secondary sector share of total employment/year [Region] is 13.73%. The tertiary sector share of total employment/year [Region] is 64.88%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Apple trees are cultivated in Zagora area (Pelium mountain, Thessaly) from 300m to 1100m. The apple cultivation is wide-spread in the area. The combination of the microclimatic conditions of the mountain and the sea breeze that prevails in the area, is one of the main factors of the unique taste of the Zagora apples. For over a century the local farmers have been organized in a very successful cooperative which promotes the apples to the Greek and international market. The Zagora apples are PDO/PGI, of high quality, high reputation, territorial identity and high exports. Apple cultivation is traditionally dominant in Zagora, an area of exceptional natural beauty. The vast majority of the producers participate in the local cooperative, which ensures Integrated management of high-standard production, high quality of products and an established brandname. Traditionally, the role of the female farmers is very crucial: in every family the female members are responsible for the sorting and packaging of apples. The VC exibits a traditional and cultural, a success story of a cooperative and innovations in the production and in marketing.","Zagora, Greece, Thessaly, Zagora, Morocco, Greece, Apple, Pelion, Protected designation of origin, Cooperative, International relations","http://www.wikidata.org/entity/Q2466197, http://www.wikidata.org/entity/Q166919, http://www.wikidata.org/entity/Q140354, http://www.wikidata.org/entity/Q41, http://www.wikidata.org/entity/Q89, http://www.wikidata.org/entity/Q1334825, http://www.wikidata.org/entity/Q13439060, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q166542","village in Magnesia, Greece|geographic region of Greece|Town in Morocco|country in Southeast Europe|edible fruit of the apple tree|mountain at the southeastern part of Thessaly in central Greece|quality policy of the European Union for food|autonomous association of persons or organizations|study of relationships between two or more states","https://upload.wikimedia.org/wikipedia/commons/1/11/Zagora_with_Snow.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/Thessaly_Plain.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Zagora.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Honeycrisp.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Pilion_with_monastery_pau.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9e/2023_Oliwa_z_oliwek_Garda_DOP_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/G20_Turkey_Leaders_Summit_-_Working_Dinner_%2822634210727%29.jpg","39.442777777778 23.101666666667,39.6 22.2,30.331611111111 -5.8375694444444,38.5 23,null,39.433333333333 23.05,null,null,null"
Key local assets,"The area of Zagora is of outstanding natural beauty. The apple trees are cultivated with nature friendy techniques in high slope fields. The farmers of the area are organized in a highly efficient cooperative, in which the role of women is very important. The cultivation /exploitation of apples is traditional and nowadays is the most important economic and social activity in the area, which incorporate cultural activities such as an annual apple festival. ","Zagora, Morocco, Zagora, Greece, Apple, Sustainable agriculture, Cooperative, Women, Economic activity, Festival","http://www.wikidata.org/entity/Q140354, http://www.wikidata.org/entity/Q2466197, http://www.wikidata.org/entity/Q89, http://www.wikidata.org/entity/Q2751054, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q467, http://www.wikidata.org/entity/Q8134, http://www.wikidata.org/entity/Q132241","Town in Morocco|village in Magnesia, Greece|edible fruit of the apple tree|farming relying on ecosystem services for maintenance|autonomous association of persons or organizations|female adult human|social science that studies the production, distribution, and consumption of goods and services|organized set of events or activities focused on a theme (cultural, religious or other) that recurs regularly (e.g. once a year) and lasts anywhere from several hours to weeks","https://upload.wikimedia.org/wikipedia/commons/3/3d/Zagora.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Zagora_with_Snow.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Honeycrisp.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Coffee_farm_in_Colombia.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Woman.svg,https://upload.wikimedia.org/wikipedia/commons/c/cf/Economics_circular_flow_cartoon.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Festival_de_cinema_de_plein_air_de_visan.jpg","30.331611111111 -5.8375694444444,39.442777777778 23.101666666667,null,null,null,null,null,null"
Challenges,The international market competition is intensive and sets the high-quality and the guaranteed quantity as prerequisits. The climate change makes the trees valerable and introduces a harvest precariousness. The economic uncertainty in national and international level could become a threat for the business model of the cooperative. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.,"International market, Climate change, Tree, Business model, Cooperative, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q2746910, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q10884, http://www.wikidata.org/entity/Q815823, http://www.wikidata.org/entity/Q4539, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","marketing on a worldwide scale|human-caused changes to climate on Earth|perennial woody plant|rationale of how an organization creates, delivers, and captures value in economic, social, cultural or other contexts|autonomous association of persons or organizations|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","null,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Alnus_glutinosa_011.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The cooperative has introduced innovative ways for the control of pests and diseases, based on academic research and participation in EU projects, along with a system of Integrated Production and Organic Production. Apart from apples, the products of the cooperative include the production of apple chips for diabetics, apple juices and organic apples and condensed juice (petimezi). The innovation is related to New products and New processes. The land use systems involved are Cropland. The local assets include Natural, social and cultural.","Value chain, Exogenous variable, Pest, Disease, European Union, Integrated pest management, Organic farming, Apple, Diabetes, Juice, Petimezi, New product development, Cropland, Nature, Social capital, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q61985482, http://www.wikidata.org/entity/Q235306, http://www.wikidata.org/entity/Q12136, http://www.wikidata.org/entity/Q458, http://www.wikidata.org/entity/Q525309, http://www.wikidata.org/entity/Q165647, http://www.wikidata.org/entity/Q89, http://www.wikidata.org/entity/Q12206, http://www.wikidata.org/entity/Q8492, http://www.wikidata.org/entity/Q2864215, http://www.wikidata.org/entity/Q1395034, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|variables in an economic model|Wikimedia disambiguation page|abnormal condition negatively affecting organisms|political and economic union of 27 European states|approach for economic control of pests|farming method that avoids synthetic inputs, at the cost of lower yields and higher labor demands compared to conventional agriculture|edible fruit of the apple tree|group of metabolic disorders characterized by high blood sugar levels over a prolonged period|naturally occurring liquid present in fruits, vegetables and plants|condiment|complete process of bringing a new product to market|land used for agricultural purposes|natural, physical, or material world and its phenomena|sociology concept|shared aspects of a society's way of life","null,null,null,https://upload.wikimedia.org/wikipedia/commons/c/cb/Mycobacterium_tuberculosis.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a2/EU_on_a_globe.svg,null,https://upload.wikimedia.org/wikipedia/commons/3/38/Organic-vegetable-cultivation.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/f4/Honeycrisp.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Blue_circle_for_diabetes.svg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Juices_for_Breakfast.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Honey_arrope_flask.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/TypesOfNewProducts.svg,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,50.116944444444 9.2477777777778,null,null,null,null,null,null,null,null,null,null,null"
