title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Caciocavallo cheese form southern Dauni mountains,"The MOVING reference member state of this VC (Value Chain) is ITALY UNIMOL and UNIPI. The reference MOVING Card ID of this VC is VC 36 IT. The cheese is produced only with milk from the 'Podolica' cow which is a local breed. The processing relies on tranditional activities which are mostly performed at the farm. Thus, farmers are the main actors of the VC. The product is mainly sold on-farm or in local markets. 'Caciocavallo dei Monti Dauni' holds the label of 'Traditional Food Italian Product'. For such products a production specification scheme needs to be followed and it dictate that milk only from wilde and semi-wild breed Podolica cows must be use to produce the cheese only using traditional production techniques. For all these reasons, the product is considered an identity of the area.","Podolica, Italy, Caciocavallo, Value chain, University of Pisa, University of Molise","http://www.wikidata.org/entity/Q3393110, http://www.wikidata.org/entity/Q38, http://www.wikidata.org/entity/Q293037, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q645663, http://www.wikidata.org/entity/Q1093340",cattle breed|country in southern Europe|Italian cheese|functions of a company affecting its costs and quality and give it a competitive advantage|Italian public research university located in Pisa|university in Italy,"null,https://upload.wikimedia.org/wikipedia/commons/d/de/Colosseo_2020.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Caciocavallo.JPG,null,https://upload.wikimedia.org/wikipedia/commons/8/8c/555PisaPalazzoAllaGiornata.JPG,https://upload.wikimedia.org/wikipedia/commons/1/1c/Unimol_-_Facolt%C3%A0_di_Giurisprudenza.jpg","null,42.5 12.5,null,null,43.716508333333 10.398458333333,41.5562 14.6663"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Southern Appennines. The reference mountain landscape of this VC is Monteleone di Puglia. Monteleone di Puglia is a hill municipality located in the Sub-Appenines Dauno, it is located in the province of Foggia (Puglia) in an area at the cross-border between Puglia, Basilicata and Campania. The town is located on top of the plateau of eastern 'Irpinia', a district of the Southern Italian Appennines.","Monteleone di Puglia, Foggia, Basilicata, Campania, Irpinia, Apennines, Daunia, Apulia","http://www.wikidata.org/entity/Q51936, http://www.wikidata.org/entity/Q13464, http://www.wikidata.org/entity/Q1452, http://www.wikidata.org/entity/Q1438, http://www.wikidata.org/entity/Q782189, http://www.wikidata.org/entity/Q1285, http://www.wikidata.org/entity/Q1172997, http://www.wikidata.org/entity/Q1447","Italian comune|Italian comune|region of Italy|region in Southern Italy|historical-geographical district in Southern Italy|mountain range stretching 1200 km from the north to the south of Italy, traversing the entire peninsula, and forming the backbone of the country|Iapygian tribe which inhabited northern Apulia in classical antiquity|region of Italy","https://upload.wikimedia.org/wikipedia/commons/d/da/04_Monteleone_skyline.JPG,https://upload.wikimedia.org/wikipedia/commons/a/a8/Piazza_Camillo_Benso_conte_di_Cavour.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Confini_della_Basilicata.png,https://upload.wikimedia.org/wikipedia/commons/e/e1/SalernoViewFromMontestella.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Irpinia_paesaggio.jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Abruzzo%2C_Lazio_and_Molise_National_Park_aerial.jpg,null,https://upload.wikimedia.org/wikipedia/commons/e/e7/Alberobello_con_il_drone.jpg","41.166666666667 15.266666666667,41.45845 15.55188,40.5 16.5,40.75 14.95,40.974444444444444 15.145833333333334,42.469166666666666 13.565555555555555,null,41.008611111111 16.512777777778"
Geography and population,The size of the area (km2) is 36.41. The minimum altimetry of the LAU (Local Administrative Unit) is 496. The maximum altimetry of the LAU is 978. The total population (in thousand) is 0.993. The population density (Inhabitants/km2) in the LAU is 27.27272727. The population change rate of the LAU in the last 10 years (%) has been -21.85%. The overall regional population density (Inhabitants/km2) is 206.8. The regional population change rate in the last 10 years (%) has been -2.63%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 18200. The total Gross Value Added (GVA) (EUR million/year) [Province] is 10181.4. The primary sector share of total GVA/year [Province] is 9.71%. The secondary sector share of total GVA/year [Province] is 16.77%. The tertiary sector share of total GVA/year [Province] is 73.51%. The per capita income (EUR/year) [Region] is 18900. The total Gross Value Added (GVA) (EUR million/year) [Region] is 69423.2. The primary sector share of total GVA/year [Region] is 4.06%. The secondary sector share of total GVA/year [Region] is 18.58%. The tertiary sector share of total GVA/year [Region] is 76.15%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 26. The regional (Region) share of total BPs/year is 0.01%. The number of agricultural holdings in the LAU is 201. The nearest settlement with population over 100000 (km) is 59. In this region protected areas are not present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 14.47%. The secondary sector share of total employment/year [Province] is 16.77%. The tertiary sector share of total employment/year [Province] is 68.76%. The primary sector share of total employment/year [Region] is 9.17%. The secondary sector share of total employment/year [Region] is 19.64%. The tertiary sector share of total employment/year [Region] is 71.19%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"The Caciocavallo cheese holds the national label of 'Traditional Food Italian Product' and it can be considered an territorial identity of the area. The product valorise a cow breeding ('Podolica') tipical of Southern Italy and it is produced valorizing local traditions and cultural know-how. The connection with the land use system is strong, since the cheese can only be produced by 'Podolica' cows bred through the wild or semi-wild systems. The amount of product available for the market is limited. Thus, besides the local makets and on-farm selling, producers started to exploit alternative marketing strategies to reach larger consumer communities such as e-commerce and on-farm selling connected with hosting activities.","Caciocavallo, Podolica, Southern Italy, E-commerce","http://www.wikidata.org/entity/Q293037, http://www.wikidata.org/entity/Q3393110, http://www.wikidata.org/entity/Q207989, http://www.wikidata.org/entity/Q484847",Italian cheese|cattle breed|macroregion of Italy|type of business industry usually conducted over the Internet,"https://upload.wikimedia.org/wikipedia/commons/f/f7/Caciocavallo.JPG,null,https://upload.wikimedia.org/wikipedia/commons/7/76/Mezzogiorno.svg,null","null,null,41.194189 15.242417,null"
Key local assets,"The area is characterised by a higlhy mixed land use system, where forests and natural grassland the dominant land use systems in the interplay with agricultural land. The 'Podolica' cow breed is traditional asset of the Southern Italian regions, characterized by lower milk production compared with intensive cow breed (e.g., Frisona, Pezzata Rossa), but very much suited for breeding through in wild and semi-wilde systems. ","Podolica, Southern Italy, Forest, Grassland, Agriculture, Friesian, Cattle, Breeding, Italy","http://www.wikidata.org/entity/Q3393110, http://www.wikidata.org/entity/Q207989, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q342739, http://www.wikidata.org/entity/Q830, http://www.wikidata.org/entity/Q14947594, http://www.wikidata.org/entity/Q38","cattle breed|macroregion of Italy|dense collection of trees covering a relatively large area|area with vegetation dominated by grasses|cultivation of plants and animals to provide useful products|Wikimedia disambiguation page|large, domesticated, cloven-hooved herbivores|Wikimedia disambiguation page|country in southern Europe","null,https://upload.wikimedia.org/wikipedia/commons/7/76/Mezzogiorno.svg,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/40/Bulgarian_gray_cattle.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/de/Colosseo_2020.jpg","null,41.194189 15.242417,null,null,null,null,null,null,42.5 12.5"
Challenges,"The Caciocavallo cheese is produced in a very remote mountain area with a market trait of rurality which is affected by ageing population and depopulation. The remoteness of the area make it difficult for the active part of the population to share formal and informal knowledges and experiences that can promote the valorisation of local natural (busheses, woods, and natural grass land) and human (traditional know-how) resources . Additionaly, intensive agriculture production drastically reduced the areas dedicated to natural land, natural grassland, and thus, the activities connected with traditional livestock activities such as the 'transumanza'. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.","Caciocavallo, Rurality, Depopulation, Knowledge, Natural resource, Traditional knowledge, Agriculture, Grassland, Livestock, Transhumance, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q293037, http://www.wikidata.org/entity/Q7380600, http://www.wikidata.org/entity/Q284137, http://www.wikidata.org/entity/Q9081, http://www.wikidata.org/entity/Q188460, http://www.wikidata.org/entity/Q1428168, http://www.wikidata.org/entity/Q11451, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q103459, http://www.wikidata.org/entity/Q4657754, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","Italian cheese|characteristics, personality traits, and viewpoints associated with rural areas and societies|depopulation in humans is any great reduction in a human population caused by events such as long-term demographic trends|mental possession of information or skills, often contributing to understanding|naturally occurring resource, including mineral resources (e.g. metal ores), mined fossil fuels (e.g. petroleum), water resources (e.g. lakes and groundwater), water energy resources, timber, arable land, game (e.g. deer), fish in water bodies, etc.|knowledge systems in the cultural traditions of communities|cultivation of plants and animals to provide useful products|area with vegetation dominated by grasses|domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor|periodic migration of livestock between winter and summer pastures. UNESCO intangible cultural heritage|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/f/f7/Caciocavallo.JPG,https://upload.wikimedia.org/wikipedia/commons/8/85/Harvesting_seaweed_in_Jambiani.jpg,null,https://upload.wikimedia.org/wikipedia/commons/5/5c/Tetradrachm_Athens_480-420BC_MBA_Lyon.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Tussen_Twist_en_Nieuw_Schoonebeek%2C_Alte_en_Neue_Energie_foto5_2016-09-25_14.29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Wild_rice_harvesting_19th_century.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Unload_wheat_by_the_combine_Claas_Lexion_584.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9a/Edward_Hicks_001.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Transumanza_nel_Parc_National_des_Ecrins.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. The cheese is moinly produced on farm with very few number of larger processors in the territory and thus a limited amount of product available for the market. For these reasons, producers are exploring alternative marketing strategies besides local markets, such as e-commerce and on farm selling (usually coupled with agritourism actvities). The innovation is related to New marketing strategies. The land use systems involved are Grassland, Forestry and Natural land. The local assets include Natural and cultural.","Value chain, E-commerce, Agritourism, Marketing strategy, Grassland, Forestry, Natural environment, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q1956672, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|type of business industry usually conducted over the Internet|agriculturally based operation or activity that brings visitors to a farm or ranch|business strategy for marketing and advertising|area with vegetation dominated by grasses|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|all living and non-living things occurring naturally on Earth or some region thereof|shared aspects of a society's way of life","null,null,null,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null,null"
